,x,y,w,h,value,idx
0,333,87,181,39,1,1
1,333,180,180,39,2,2
2,332,273,181,39,3,3
3,332,366,181,39,4,4
4,332,459,181,39,5,5
5,332,552,181,39,6,6
6,332,645,181,39,7,7
7,332,738,181,39,8,8
8,332,831,180,39,9,9
9,332,924,180,39,10,10
10,740,85,181,40,11,11
11,740,178,181,40,12,12
12,740,271,181,40,13,13
13,740,364,181,40,14,14
14,740,457,181,40,15,15
15,740,550,180,40,16,16
16,740,643,180,40,17,17
17,739,736,181,40,18,18
18,739,829,181,40,19,19
19,739,922,181,40,20,20
