pin_id,start,end,on,off,block
ODOUR_A_RIGHT, 02,03,NaN,NaN,
ODOUR_A_LEFT,  02,03,NaN,NaN,

ODOUR_B_LEFT,  05,06,NaN,NaN,
ODOUR_B_RIGHT, 05,06,NaN,NaN,

EL_SHOCK_LEFT, 05.05,06.1,1.25/60,3.75/60,
EL_SHOCK_RIGHT,05.05,06.1,1.25/60,3.75/60,
