pin_id,start,end,on,off
ONBOARD_LED,0,999,1,4
MAIN_VALVE,0,999,NaN,NaN
VACUUM,0,999,NaN,NaN
IRLED,0,999,NaN,NaN
VIBRATOR,0,2,0.1,0.1

LEFT_ODOUR_1,10,20,NaN,NaN
LEFT_ODOUR_1,30,40,NaN,NaN
LEFT_ODOUR_2,0,10,NaN,NaN
LEFT_ODOUR_2,20,30,NaN,NaN

LEFT_ESHOCK,0,999,1,4
LEFT_LED_R,0,999,0.1,0.9

RIGHT_ODOUR_1,0,10,NaN,NaN
RIGHT_ODOUR_1,20,30,NaN,NaN
RIGHT_ODOUR_2,10,20,NaN,NaN
RIGHT_ODOUR_2,30,40,NaN,NaN

RIGHT_ESHOCK,0,999,1,4
RIGHT_LED_R,0,999,0.1,0.9
