,x,y,w,h,value,idx
0,337,79,182,40,1,1
1,337,171,182,40,2,2
2,337,264,181,40,3,3
3,336,356,182,40,4,4
4,336,449,182,40,5,5
5,336,541,182,40,6,6
6,336,634,181,40,7,7
7,335,726,182,40,8,8
8,335,819,182,40,9,9
9,335,911,181,40,10,10
10,747,81,182,40,11,11
11,747,174,181,40,12,12
12,746,266,182,40,13,13
13,746,359,182,40,14,14
14,746,451,182,40,15,15
15,745,543,182,41,16,16
16,745,636,182,40,17,17
17,745,728,182,41,18,18
18,745,821,181,40,19,19
19,744,913,182,41,20,20
