hardware,start,end,on,off,mode,value
MAIN_VALVE,0,6,NaN,NaN,o,1
VACUUM,0,6,NaN,NaN,o,1
IRLED,0,6,NaN,NaN,o,1
TARGETS,0,6,NaN,NaN,o,1
ONBOARD_LED,0,6,5000,5000,o,1


EL_SHOCK_RIGHT,1,3,500,4500,o,1  #60
EL_SHOCK_LEFT,3,5,500,4500,o,1
