,x,y,w,h,value,idx
0,332,87,181,39,1,1
1,331,180,182,39,2,2
2,331,273,182,39,3,3
3,331,366,181,39,4,4
4,331,459,181,39,5,5
5,330,552,182,39,6,6
6,330,645,182,39,7,7
7,330,738,181,39,8,8
8,330,831,181,39,9,9
9,329,924,182,39,10,10
10,741,86,181,40,11,11
11,740,179,182,40,12,12
12,740,272,182,40,13,13
13,740,365,181,40,14,14
14,740,459,181,39,15,15
15,739,552,182,39,16,16
16,739,645,181,39,17,17
17,739,738,181,39,18,18
18,738,831,182,39,19,19
19,738,924,182,39,20,20
