pin_id,start,end,on,off,block
ODOUR_B_RIGHT,2,3,NaN,NaN,
ODOUR_B_LEFT,5,6,NaN,NaN,
ODOUR_B_RIGHT,8,9,NaN,NaN,
ODOUR_B_LEFT,11,12,NaN,NaN,
