pin_id,start,end,on,off
ODOUR_A_LEFT,1,2,NaN,NaN
ODOUR_A_RIGHT,1,2,NaN,NaN
ODOUR_B_LEFT,3,4,NaN,NaN
ODOUR_B_RIGHT,3,4,NaN,NaN
EL_SHOCK_LEFT,3,4,1,4
EL_SHOCK_RIGHT,3,4,1,4
