pin_id,start,end,on,off,block
ODOUR_B_RIGHT,0/10,30/60,NaN,NaN,
ODOUR_A_LEFT,0/10,30/60,NaN,NaN,
ODOUR_B_LEFT,30/60,1,NaN,NaN,
ODOUR_A_RIGHT,30/60,1,NaN,NaN,
EL_SHOCK_LEFT,30/60,1,1/60,4/60
EL_SHOCK_RIGHT,30/60,1,1/60,4/60
