pin_id,start,end,on,off,block
ODOUR_B_RIGHT,2,3,NaN,NaN,
ODOUR_A_LEFT,2,3,NaN,NaN, 
ODOUR_B_RIGHT,5,6,NaN,NaN,
ODOUR_B_LEFT,8,9,NaN,NaN,
ODOUR_A_RIGHT,11,12,NaN,NaN,
ODOUR_A_LEFT,15,16,NaN,NaN,

