,var_name,sql_type,functional_type
0,x,SMALLINT,distance
1,y,SMALLINT,distance
2,w,SMALLINT,distance
3,h,SMALLINT,distance
4,phi,SMALLINT,angle
5,xy_dist_log10x1000,SMALLINT,relative_distance_1e6
6,is_inferred,BOOLEAN,bool
7,has_interacted,SMALLINT,interaction
8,frame_count,INT,count
