"region_id","appetitive","aversive","preference_index"
1,3,0,NA
4,0,2,NA
5,5,0,1
6,1,4,-0.6
7,1,0,NA
9,4,1,0.6
10,0,3,NA
11,3,0,NA
13,0,5,-1
14,5,0,1
15,2,0,NA
16,1,10,-0.818181818181818
17,0,5,-1
18,9,0,1
19,5,0,1
