"region_id","appetitive","aversive","preference_index"
1,2,0,NA
2,4,0,NA
4,0,6,-1
5,3,0,NA
6,4,5,-0.111111111111111
7,3,0,NA
9,3,0,NA
10,0,3,NA
11,4,0,NA
13,0,5,-1
14,1,0,NA
15,2,1,NA
16,0,8,-1
17,1,10,-0.818181818181818
18,9,0,1
19,4,0,NA
