,arena,cx,cy,datetime,fly,frame,time_position
99,9,634,186,2019-03-18 11:07:31.926767,0,52,26.0
100,0,616,975,2019-03-18 11:07:31.964785,0,53,26.5
101,9,633,187,2019-03-18 11:07:32.053198,0,53,26.5
102,0,616,975,2019-03-18 11:07:32.093447,0,54,27.0
103,9,633,187,2019-03-18 11:07:32.178964,0,54,27.0
104,0,616,976,2019-03-18 11:07:32.216837,0,55,27.5
105,9,632,187,2019-03-18 11:07:32.313803,0,55,27.5
106,0,619,977,2019-03-18 11:07:32.355969,0,56,28.0
107,9,630,187,2019-03-18 11:07:32.447010,0,56,28.0
108,0,621,977,2019-03-18 11:07:32.501325,0,57,28.5
109,9,629,188,2019-03-18 11:07:32.605837,0,57,28.5
110,0,625,977,2019-03-18 11:07:32.653355,0,58,29.0
111,9,626,188,2019-03-18 11:07:32.752305,0,58,29.0
112,0,631,976,2019-03-18 11:07:32.793075,0,59,29.5
113,0,636,977,2019-03-18 11:07:32.934456,0,60,30.0
114,9,622,187,2019-03-18 11:07:33.072385,0,60,30.0
115,0,640,977,2019-03-18 11:07:33.112769,0,61,30.5
116,9,622,187,2019-03-18 11:07:33.218043,0,61,30.5
117,0,642,976,2019-03-18 11:07:33.259730,0,62,31.0
118,0,647,975,2019-03-18 11:07:33.262584,1,62,31.0
119,9,621,188,2019-03-18 11:07:33.415218,0,62,31.0
120,9,618,186,2019-03-18 11:07:33.417441,1,62,31.0
121,0,646,974,2019-03-18 11:07:33.462649,0,63,31.5
122,9,618,186,2019-03-18 11:07:33.587237,0,63,31.5
123,0,652,975,2019-03-18 11:07:33.625214,0,64,32.0
124,9,616,186,2019-03-18 11:07:33.703827,0,64,32.0
125,0,659,977,2019-03-18 11:07:33.744882,0,65,32.5
126,9,616,187,2019-03-18 11:07:33.860125,0,65,32.5
127,0,665,977,2019-03-18 11:07:33.899126,0,66,33.0
128,9,615,187,2019-03-18 11:07:33.999351,0,66,33.0
129,0,672,977,2019-03-18 11:07:34.038780,0,67,33.5
130,9,615,187,2019-03-18 11:07:34.138697,0,67,33.5
131,0,682,977,2019-03-18 11:07:34.183483,0,68,34.0
132,9,614,189,2019-03-18 11:07:34.298574,0,68,34.0
133,9,616,187,2019-03-18 11:07:34.301453,1,68,34.0
134,0,688,974,2019-03-18 11:07:34.340557,0,69,34.5
135,9,614,188,2019-03-18 11:07:34.429528,0,69,34.5
136,0,694,974,2019-03-18 11:07:34.465707,0,70,35.0
137,9,613,188,2019-03-18 11:07:34.567037,0,70,35.0
138,0,700,976,2019-03-18 11:07:34.606605,0,71,35.5
139,9,612,188,2019-03-18 11:07:34.695181,0,71,35.5
140,0,706,975,2019-03-18 11:07:34.739362,0,72,36.0
141,9,614,188,2019-03-18 11:07:34.838607,0,72,36.0
142,0,711,975,2019-03-18 11:07:34.876213,0,73,36.5
143,9,615,188,2019-03-18 11:07:34.981066,0,73,36.5
144,0,711,975,2019-03-18 11:07:35.020077,0,74,37.0
145,9,616,188,2019-03-18 11:07:35.120796,0,74,37.0
146,0,716,975,2019-03-18 11:07:35.158437,0,75,37.5
147,9,617,188,2019-03-18 11:07:35.249779,0,75,37.5
148,0,717,975,2019-03-18 11:07:35.286764,0,76,38.0
149,9,619,189,2019-03-18 11:07:35.382377,0,76,38.0
150,0,717,974,2019-03-18 11:07:35.425202,0,77,38.5
151,9,621,188,2019-03-18 11:07:35.533280,0,77,38.5
152,0,717,974,2019-03-18 11:07:35.575768,0,78,39.0
153,9,623,188,2019-03-18 11:07:35.664505,0,78,39.0
154,0,715,974,2019-03-18 11:07:35.707617,0,79,39.5
