region_id,center
1,424.4583333333333
2,422.4166666666667
3,422.1666666666667
4,424.0833333333333
5,421.4583333333333
6,422.2083333333333
7,420.8333333333333
8,422.0
9,422.0416666666667
10,422.4166666666667
11,829.9583333333334
12,829.6666666666666
13,831.1666666666666
14,831.9583333333334
15,830.2916666666666
16,830.8333333333334
17,831.4583333333334
18,829.0416666666666
19,830.0833333333334
20,828.0833333333334
