,x,y,w,h,value,idx
1,337,79,182,40,1,1
2,337,109,182,40,2,2
3,337,139,182,40,3,3
4,337,169,182,40,4,4
5,337,199,182,40,5,5
6,337,229,182,40,6,6
7,337,259,182,40,7,7
8,337,289,182,40,8,8
9,337,319,182,40,9,9
10,337,349,182,40,10,10
11,537,79,182,40,11,11
12,537,109,182,40,12,12
13,537,139,182,40,13,13
14,537,169,182,40,14,14
15,537,199,182,40,15,15
16,537,229,182,40,16,16
17,537,259,182,40,17,17
18,537,289,182,40,18,18
19,537,319,182,40,19,19
20,537,349,182,40,20,20
