pin_id,start,end,on,off,block

VIBRATOR, 0.5,0.55,NaN,NaN,
ODOUR_A_RIGHT, 01,02,NaN,NaN,
ODOUR_B_LEFT,  01,02,NaN,NaN,

VIBRATOR, 2.5,2.55,NaN,NaN,
ODOUR_A_LEFT,  03,04,NaN,NaN,
ODOUR_B_RIGHT, 03,04,NaN,NaN,
