hardware,start,end,on,off,mode,value
MAIN_VALVE,0,10,NaN,NaN,o,1
VACUUM,0,10,NaN,NaN,o,1
IRLED,0,10,NaN,NaN,o,1
TARGETS,0,10,NaN,NaN,o,1
ONBOARD_LED,0,10,1000,1000,o,1

LED_R_LEFT,.4,4.05,1250,3750,p,0.8
LED_R_RIGHT,.4,4.05,1250,3750,p,0.8
TREATMENT_B_LEFT,.4,4,NaN,NaN,o,1
TREATMENT_B_RIGHT,.4,4,NaN,NaN,o,1
