hardware,start,end,on,off,mode,value
MAIN_VALVE,0,6,NaN,NaN,o,1
VACUUM,0,6,NaN,NaN,o,1
IRLED,0,6,NaN,NaN,o,1
TARGETS,0,6,NaN,NaN,o,1
ONBOARD_LED,0,6,5000,5000,o,1

ODOR_B_LEFT,1,2,NaN,NaN,o,1
ODOR_B_RIGHT,1,2,NaN,NaN,o,1
EL_SHOCK_LEFT,1.1,2.1,1250,3750,o,1
EL_SHOCK_RIGHT,1.1,2.1,1250,3750,o,1

TREATMENT_A_LEFT,1,2,NaN,NaN,o,1
TREATMENT_A_RIGHT,1,2,NaN,NaN,o,1


ODOR_A_LEFT,4,5,NaN,NaN,o,1
ODOR_A_RIGHT,4,5,NaN,NaN,o,1

TREATMENT_B_LEFT,4,5,NaN,NaN,o,1
TREATMENT_B_RIGHT,4,5,NaN,NaN,o,1
