hardware,start,end,on,off,mode,value
MAIN_VALVE,0,10,NaN,NaN,o,1
VACUUM,0,10,NaN,NaN,o,1
IRLED,0,10,NaN,NaN,o,1
TARGETS,0,10,NaN,NaN,o,1
ONBOARD_LED,0,10,1000,1000,o,1




EL_SHOCK_LEFT,0,5,2500,2500,o,1
EL_SHOCK_RIGHT,0,5,2500,2500,o,1
LED_R_LEFT,0,5,2500,2500,p,0.5
LED_R_RIGHT,0,5,2500,2500,p,0.5
