hardware,start,end,on,off,mode,value
MAIN_VALVE,0,15,NaN,NaN,o,1
VACUUM,0,15,NaN,NaN,o,1
IRLED,0,15,NaN,NaN,o,1
TARGETS,0,15,NaN,NaN,o,1
ONBOARD_LED,0,15,1000,1000,o,1

ODOR_A_LEFT,1,2,NaN,NaN,o,1

ODOR_B_LEFT,3,4,NaN,NaN,o,1

ODOR_A_RIGHT,5,6,NaN,NaN,o,1

ODOR_B_RIGHT,7,8,NaN,NaN,o,1


ODOR_A_RIGHT,10,12,NaN,NaN,o,1
ODOR_B_LEFT,10,12,NaN,NaN,o,1


