hardware,start,end,on,off,mode,value
MAIN_VALVE,0,9,NaN,NaN,o,1
VACUUM,0,9,NaN,NaN,o,1
IRLED,0,9,NaN,NaN,o,1
TARGETS,0,.2,NaN,NaN,o,1
ONBOARD_LED,0,9,500,500,o,1

LED_R_RIGHT,2,7,8,17,p,0.5

