pin_id,start,end,on,hertz
MAIN_VALVE,0,233,NaN,NaN
VACUUM,0,233,NaN,NaN
IRLED,0,233,NaN,NaN
TARGETS,0,233,NaN,NaN
LED_R_LEFT,83,161,8,40
LED_R_RIGHT,161,233,8,40
