pin_id,start,end,on,off,block

ODOUR_A_RIGHT, 01,02,NaN,NaN,
VIBRATOR, 01,1.05,NaN,NaN,

ODOUR_B_RIGHT, 03,04,NaN,NaN,
VIBRATOR, 03,03.05,NaN,NaN,


ODOUR_A_LEFT, 05,06,NaN,NaN,
VIBRATOR, 05,5.05,NaN,NaN,


ODOUR_B_LEFT, 07,08,NaN,NaN,
VIBRATOR, 07,7.05,NaN,NaN,
