hardware,start,end,on,off,mode,value
MAIN_VALVE,0,2,NaN,NaN,o,1
VACUUM,0,2,NaN,NaN,o,1
IRLED,0,2,NaN,NaN,o,1
TARGETS,0,2,NaN,NaN,o,1
ONBOARD_LED,0,2,500,500,o,1
ODOR_A_LEFT,0,1,NaN,NaN,o,1
LED_R_LEFT,0,1,8,20,p,0.5
ODOR_A_LEFT,1,2,NaN,NaN,o,1
LED_R_LEFT,1,2,8,20,p,0.5

