,x,y,w,h,value,idx
0,332,89,181,40,1,1
1,332,182,181,40,2,2
2,332,275,181,40,3,3
3,332,368,181,40,4,4
4,332,461,181,40,5,5
5,332,554,181,40,6,6
6,332,647,181,40,7,7
7,332,740,181,40,8,8
8,332,833,181,40,9,9
9,332,926,181,40,10,10
10,740,88,181,40,11,11
11,740,181,181,40,12,12
12,740,274,181,40,13,13
13,740,367,181,40,14,14
14,740,460,181,40,15,15
15,740,553,181,40,16,16
16,740,646,181,40,17,17
17,740,739,180,40,18,18
18,740,832,180,40,19,19
19,739,925,181,40,20,20
