"t","ROI_1","ROI_2","ROI_3","ROI_4","ROI_5","ROI_6","ROI_7","ROI_8","ROI_9","ROI_10","ROI_11","ROI_12","ROI_13","ROI_14","ROI_15","ROI_16","ROI_17","ROI_18","ROI_19","ROI_20","IRLED","LED_R_LEFT","LED_R_RIGHT","EL_SHOCK_LEFT","EL_SHOCK_RIGHT","ODOR_A_LEFT","ODOR_A_RIGHT","ODOR_B_LEFT","ODOR_B_RIGHT","MAIN_VALVE","VACUUM","ONBOARD_LED","VIBRATOR","CLEAN_AIR","CLEAN_SDS","CLEAN_WATER","TEST_PIN","TARGETS","TREATMENT_A_LEFT","TREATMENT_A_RIGHT","TREATMENT_B_LEFT","TREATMENT_B_RIGHT"
0,50.1666666666667,0.0833333333333144,-29.9166666666667,-12.5,-58.75,-91.0833333333333,52.4166666666667,-57.5,54.5833333333333,-92.25,-54.5,0.0833333333333712,8.91666666666663,-55.5,NA,-45.8333333333334,-8.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0570000000000004,50.1666666666667,3.08333333333331,-29.9166666666667,-10.5,-58.75,NA,54.4166666666667,-58.5,54.5833333333333,NA,-53.5,3.08333333333337,8.91666666666663,-55.5,NA,-47.8333333333334,-6.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.167000000000001,50.1666666666667,4.08333333333331,-28.9166666666667,-10.5,-58.75,NA,54.4166666666667,-58.5,54.5833333333333,NA,-53.5,4.08333333333337,8.91666666666663,-55.5,NA,-48.8333333333334,-6.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.236000000000001,50.1666666666667,4.08333333333331,-28.9166666666667,-10.5,-58.75,NA,55.4166666666667,-58.5,54.5833333333333,NA,-53.5,5.08333333333337,8.91666666666663,-55.5,NA,-49.8333333333334,-6.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.279000000000001,49.1666666666667,4.08333333333331,-28.9166666666667,-9.5,-58.75,NA,55.4166666666667,-58.5,54.5833333333333,NA,-53.5,5.08333333333337,8.91666666666663,-55.5,NA,-50.8333333333334,-5.66666666666663,NA,NA,58.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.321000000000001,49.1666666666667,4.08333333333331,-28.9166666666667,-8.5,-58.75,NA,54.4166666666667,-57.5,54.5833333333333,NA,-53.5,5.08333333333337,8.91666666666663,-56.5,NA,-51.8333333333334,-5.66666666666663,NA,NA,58.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.371,47.1666666666667,4.08333333333331,-28.9166666666667,-8.5,-58.75,NA,54.4166666666667,-58.5,54.5833333333333,NA,-53.5,5.08333333333337,8.91666666666663,-56.5,NA,-52.8333333333334,-5.66666666666663,NA,NA,58.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.413,47.1666666666667,4.08333333333331,-28.9166666666667,-8.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,6.08333333333337,8.91666666666663,-56.5,NA,-52.8333333333334,-5.66666666666663,NA,NA,58.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.454000000000001,46.1666666666667,4.08333333333331,-28.9166666666667,-8.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,6.08333333333337,8.91666666666663,-56.5,NA,-52.8333333333334,-4.66666666666663,NA,NA,58.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.496,45.1666666666667,4.08333333333331,-28.9166666666667,-7.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,7.08333333333337,8.91666666666663,-56.5,NA,-52.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.538,44.1666666666667,5.08333333333331,-28.9166666666667,-7.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,7.08333333333337,8.91666666666663,-56.5,NA,-52.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,43.1666666666667,4.08333333333331,-28.9166666666667,-6.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,8.08333333333337,8.91666666666663,-56.5,NA,-53.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623000000000001,42.1666666666667,4.08333333333331,-28.9166666666667,-5.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,8.08333333333337,8.91666666666663,-56.5,NA,-53.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.664,41.1666666666667,4.08333333333331,-28.9166666666667,-4.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,9.08333333333337,8.91666666666663,-56.5,NA,-53.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.712,41.1666666666667,4.08333333333331,-28.9166666666667,-4.5,-58.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,9.08333333333337,8.91666666666663,-56.5,NA,-53.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.757,40.1666666666667,4.08333333333331,-28.9166666666667,-4.5,-58.75,NA,52.4166666666667,-57.5,54.5833333333333,NA,-53.5,9.08333333333337,8.91666666666663,-56.5,NA,-53.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.798,40.1666666666667,4.08333333333331,-28.9166666666667,-4.5,-58.75,NA,52.4166666666667,-57.5,54.5833333333333,NA,-53.5,10.0833333333334,8.91666666666663,-56.5,NA,-54.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.839,39.1666666666667,4.08333333333331,-28.9166666666667,-4.5,-58.75,NA,52.4166666666667,-56.5,54.5833333333333,NA,-53.5,10.0833333333334,8.91666666666663,-56.5,NA,-54.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.880000000000001,39.1666666666667,3.08333333333331,-28.9166666666667,-4.5,-58.75,NA,53.4166666666667,-56.5,54.5833333333333,NA,-53.5,11.0833333333334,12.9166666666666,-56.5,NA,-54.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968,39.1666666666667,4.08333333333331,-28.9166666666667,-4.5,-58.75,NA,53.4166666666667,-56.5,54.5833333333333,NA,-53.5,11.0833333333334,12.9166666666666,-56.5,NA,-54.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.009,38.1666666666667,4.08333333333331,-28.9166666666667,-4.5,-58.75,NA,53.4166666666667,-57.5,54.5833333333333,NA,-53.5,11.0833333333334,13.9166666666666,-56.5,NA,-54.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.05,38.1666666666667,3.08333333333331,-28.9166666666667,-4.5,-58.75,NA,53.4166666666667,-57.5,55.5833333333333,NA,-53.5,12.0833333333334,14.9166666666666,-55.5,NA,-54.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.091,38.1666666666667,3.08333333333331,-28.9166666666667,-4.5,-57.75,NA,53.4166666666667,-58.5,56.5833333333333,NA,-53.5,12.0833333333334,14.9166666666666,-55.5,NA,-54.8333333333334,-3.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.141,38.1666666666667,3.08333333333331,-28.9166666666667,-3.5,-57.75,NA,53.4166666666667,-59.5,56.5833333333333,NA,-53.5,12.0833333333334,15.9166666666666,-55.5,NA,-54.8333333333334,-2.66666666666663,NA,NA,59.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.193,38.1666666666667,3.08333333333331,-28.9166666666667,-3.5,-57.75,NA,53.4166666666667,-59.5,56.5833333333333,NA,-53.5,12.0833333333334,15.9166666666666,-55.5,NA,-54.8333333333334,-2.66666666666663,NA,NA,58.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.244,38.1666666666667,3.08333333333331,-28.9166666666667,-3.5,-57.75,NA,53.4166666666667,-59.5,55.5833333333333,NA,-53.5,12.0833333333334,16.9166666666666,-55.5,NA,-54.8333333333334,-2.66666666666663,NA,NA,58.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29,38.1666666666667,3.08333333333331,-28.9166666666667,-2.5,-57.75,NA,53.4166666666667,-58.5,55.5833333333333,NA,-53.5,12.0833333333334,16.9166666666666,-55.5,NA,-54.8333333333334,-2.66666666666663,NA,NA,57.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.334,38.1666666666667,3.08333333333331,-28.9166666666667,-2.5,-56.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,12.0833333333334,17.9166666666666,-55.5,NA,-54.8333333333334,-2.66666666666663,NA,NA,56.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.379,34.1666666666667,3.08333333333331,-28.9166666666667,-2.5,-56.75,NA,53.4166666666667,-58.5,54.5833333333333,NA,-53.5,12.0833333333334,17.9166666666666,-55.5,NA,-54.8333333333334,-2.66666666666663,NA,NA,57.5833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
