"region_id","appetitive","aversive","preference_index"
2,1,0,NA
3,1,0,NA
4,1,2,-0.333333333333333
5,1,1,NA
7,0,1,NA
8,1,1,NA
11,1,0,NA
12,1,1,NA
16,1,0,NA
20,0,1,NA
